29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
29,29,29,24,25,25,25,26,29,29,29,29,24,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
29,29,29,40,41,41,41,42,29,29,29,24,44,43,25,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,40,41,41,41,42,29,29,29,29,29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,24,25,25,26,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,40,41,41,42,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,24,25,25,26,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,40,41,41,42,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,29,0,1,1,1,1,1,1,1,2,29,29,29,29,29,29,24,25,25
29,29,29,29,29,29,29,29,29,24,26,29,8,9,9,9,19,20,19,20,10,29,29,29,29,29,29,40,36,33
29,29,29,29,29,29,24,26,29,40,42,29,8,9,9,9,10,8,10,8,10,29,29,29,29,29,29,29,32,35
29,29,29,29,29,29,40,42,29,29,29,29,16,20,9,9,10,8,10,8,10,29,0,1,1,1,1,2,32,43
25,25,25,25,26,29,29,29,29,24,26,29,29,8,9,9,10,8,10,8,10,29,16,20,9,9,9,10,40,41
33,33,33,33,34,29,29,29,29,32,34,29,29,8,9,9,10,8,10,8,10,29,29,8,9,9,9,10,29,29
33,33,33,33,34,29,29,29,29,32,34,29,29,8,9,9,10,8,10,16,18,29,29,8,9,9,9,10,29,29
